team_code,team_name,season,issue_found,players_total,players_with_67_to_71_before,players_with_67_to_71_after,average_ovr_before,average_ovr_after,max_ovr_before,max_ovr_after,rating_spread_before,rating_spread_after,root_cause,fix_applied,still_needs_review
NYG,New York Giants,1968,88.4% of roster stuck in the 67-71 generic band; 44.2% sharing one rating (70); compressed spread (6); no player >=80 (top 74),43,38,0,70.2,75.1,74,82,6,9,"Era data gap + signal starvation: the source carries bio rows but little per-game evidence for depth/defense/OL, so the pre-fix engine collapsed the unrankable majority onto the 67-71 fallback and could not separate the roster.","Engine rebuilt — role-tier priors, within-roster depth ranking, era-relative percentile, and position-specific grading (OL/EDGE/DT/LB/CB/S/K/P graded without offensive box scores); fallback now role-graded 55-92 carrying rating_source/confidence/reason/needs_manual_review.",no — residual flatness is the documented pre-1999 data gap (bio-only depth)
CHI,Chicago Bears,1986,95.9% of roster stuck in the 67-71 generic band; 40.8% sharing one rating (67); compressed spread (7); no player >=80 (top 74),49,47,18,68,72.1,74,81,7,10,"Era data gap + signal starvation: the source carries bio rows but little per-game evidence for depth/defense/OL, so the pre-fix engine collapsed the unrankable majority onto the 67-71 fallback and could not separate the roster.","Engine rebuilt — role-tier priors, within-roster depth ranking, era-relative percentile, and position-specific grading (OL/EDGE/DT/LB/CB/S/K/P graded without offensive box scores); fallback now role-graded 55-92 carrying rating_source/confidence/reason/needs_manual_review.",no — residual flatness is the documented pre-1999 data gap (bio-only depth)
MIN,Minnesota Vikings,1995,100% of roster stuck in the 67-71 generic band; 47.3% sharing one rating (69); compressed spread (3); no player >=80 (top 71),55,55,0,69.4,74.2,71,93,3,21,"Era data gap + signal starvation: the source carries bio rows but little per-game evidence for depth/defense/OL, so the pre-fix engine collapsed the unrankable majority onto the 67-71 fallback and could not separate the roster.","Engine rebuilt — role-tier priors, within-roster depth ranking, era-relative percentile, and position-specific grading (OL/EDGE/DT/LB/CB/S/K/P graded without offensive box scores); fallback now role-graded 55-92 carrying rating_source/confidence/reason/needs_manual_review. Curated overrides: John Randle.",no — residual flatness is the documented pre-1999 data gap (bio-only depth)
ARI,Arizona Cardinals,1995,100% of roster stuck in the 67-71 generic band; 50.8% sharing one rating (67); compressed spread (3); no player >=80 (top 70),63,63,46,67.8,71.4,70,74,3,3,"Era data gap + signal starvation: the source carries bio rows but little per-game evidence for depth/defense/OL, so the pre-fix engine collapsed the unrankable majority onto the 67-71 fallback and could not separate the roster.","Engine rebuilt — role-tier priors, within-roster depth ranking, era-relative percentile, and position-specific grading (OL/EDGE/DT/LB/CB/S/K/P graded without offensive box scores); fallback now role-graded 55-92 carrying rating_source/confidence/reason/needs_manual_review.",no — residual flatness is the documented pre-1999 data gap (bio-only depth)
CIN,Cincinnati Bengals,1989,96.4% of roster stuck in the 67-71 generic band; 60.7% sharing one rating (68); compressed spread (7); no player >=80 (top 74),56,54,8,68.2,72.8,74,98,7,27,"Era data gap + signal starvation: the source carries bio rows but little per-game evidence for depth/defense/OL, so the pre-fix engine collapsed the unrankable majority onto the 67-71 fallback and could not separate the roster.","Engine rebuilt — role-tier priors, within-roster depth ranking, era-relative percentile, and position-specific grading (OL/EDGE/DT/LB/CB/S/K/P graded without offensive box scores); fallback now role-graded 55-92 carrying rating_source/confidence/reason/needs_manual_review. Curated overrides: Anthony Munoz.",no — residual flatness is the documented pre-1999 data gap (bio-only depth)
DET,Detroit Lions,1968,95.6% of roster stuck in the 67-71 generic band; compressed spread (7); no player >=80 (top 74),45,43,0,68.8,73,74,80,7,8,"Era data gap + signal starvation: the source carries bio rows but little per-game evidence for depth/defense/OL, so the pre-fix engine collapsed the unrankable majority onto the 67-71 fallback and could not separate the roster.","Engine rebuilt — role-tier priors, within-roster depth ranking, era-relative percentile, and position-specific grading (OL/EDGE/DT/LB/CB/S/K/P graded without offensive box scores); fallback now role-graded 55-92 carrying rating_source/confidence/reason/needs_manual_review.",no — residual flatness is the documented pre-1999 data gap (bio-only depth)
MIA,Miami Dolphins,2000,69.2% of roster stuck in the 67-71 generic band,65,45,9,70,72.4,88,93,32,42,"Engine over-compression: rate-stats had no volume floor and defense/OL evidence was under-weighted, so rankable players were flattened into the 67-71 band while a few volume compilers were inflated.","Engine rebuilt — role-tier priors, within-roster depth ranking, era-relative percentile, and position-specific grading (OL/EDGE/DT/LB/CB/S/K/P graded without offensive box scores); fallback now role-graded 55-92 carrying rating_source/confidence/reason/needs_manual_review. Curated overrides: Jason Taylor, Zach Thomas.",no
NYJ,New York Jets,1996,93.1% of roster stuck in the 67-71 generic band; 60.3% sharing one rating (70); compressed spread (8); no player >=80 (top 74),58,54,2,69.9,74.4,74,81,8,11,"Era data gap + signal starvation: the source carries bio rows but little per-game evidence for depth/defense/OL, so the pre-fix engine collapsed the unrankable majority onto the 67-71 fallback and could not separate the roster.","Engine rebuilt — role-tier priors, within-roster depth ranking, era-relative percentile, and position-specific grading (OL/EDGE/DT/LB/CB/S/K/P graded without offensive box scores); fallback now role-graded 55-92 carrying rating_source/confidence/reason/needs_manual_review.",no — residual flatness is the documented pre-1999 data gap (bio-only depth)
WAS,Washington Commanders,1985,91.1% of roster stuck in the 67-71 generic band; 66.1% sharing one rating (71); compressed spread (5); no player >=80 (top 72),56,51,2,70.4,75.3,72,78,5,7,"Era data gap + signal starvation: the source carries bio rows but little per-game evidence for depth/defense/OL, so the pre-fix engine collapsed the unrankable majority onto the 67-71 fallback and could not separate the roster.","Engine rebuilt — role-tier priors, within-roster depth ranking, era-relative percentile, and position-specific grading (OL/EDGE/DT/LB/CB/S/K/P graded without offensive box scores); fallback now role-graded 55-92 carrying rating_source/confidence/reason/needs_manual_review.",no — residual flatness is the documented pre-1999 data gap (bio-only depth)
LV,Las Vegas Raiders,1992,96.3% of roster stuck in the 67-71 generic band; 53.7% sharing one rating (69); compressed spread (7); no player >=80 (top 74),54,52,0,69.4,73.7,74,80,7,8,"Era data gap + signal starvation: the source carries bio rows but little per-game evidence for depth/defense/OL, so the pre-fix engine collapsed the unrankable majority onto the 67-71 fallback and could not separate the roster.","Engine rebuilt — role-tier priors, within-roster depth ranking, era-relative percentile, and position-specific grading (OL/EDGE/DT/LB/CB/S/K/P graded without offensive box scores); fallback now role-graded 55-92 carrying rating_source/confidence/reason/needs_manual_review.",no — residual flatness is the documented pre-1999 data gap (bio-only depth)
NYJ,New York Jets,1991,100% of roster stuck in the 67-71 generic band; 51.9% sharing one rating (70); compressed spread (4); no player >=80 (top 71),54,54,2,69.6,74.2,71,76,4,5,"Era data gap + signal starvation: the source carries bio rows but little per-game evidence for depth/defense/OL, so the pre-fix engine collapsed the unrankable majority onto the 67-71 fallback and could not separate the roster.","Engine rebuilt — role-tier priors, within-roster depth ranking, era-relative percentile, and position-specific grading (OL/EDGE/DT/LB/CB/S/K/P graded without offensive box scores); fallback now role-graded 55-92 carrying rating_source/confidence/reason/needs_manual_review.",no — residual flatness is the documented pre-1999 data gap (bio-only depth)
NYJ,New York Jets,1965,95.8% of roster stuck in the 67-71 generic band; 50% sharing one rating (70); compressed spread (6); no player >=80 (top 74),48,46,0,69.9,74.5,74,81,6,8,"Era data gap + signal starvation: the source carries bio rows but little per-game evidence for depth/defense/OL, so the pre-fix engine collapsed the unrankable majority onto the 67-71 fallback and could not separate the roster.","Engine rebuilt — role-tier priors, within-roster depth ranking, era-relative percentile, and position-specific grading (OL/EDGE/DT/LB/CB/S/K/P graded without offensive box scores); fallback now role-graded 55-92 carrying rating_source/confidence/reason/needs_manual_review.",no — residual flatness is the documented pre-1999 data gap (bio-only depth)
CLE,Cleveland Browns,1987,35.3% of roster in the 67-71 generic band; compressed spread (12); no player >=80 (top 75),102,36,16,67.3,68.3,75,83,12,22,"Era data gap + signal starvation: the source carries bio rows but little per-game evidence for depth/defense/OL, so the pre-fix engine collapsed the unrankable majority onto the 67-71 fallback and could not separate the roster.","Engine rebuilt — role-tier priors, within-roster depth ranking, era-relative percentile, and position-specific grading (OL/EDGE/DT/LB/CB/S/K/P graded without offensive box scores); fallback now role-graded 55-92 carrying rating_source/confidence/reason/needs_manual_review.",no
ARI,Arizona Cardinals,1970,100% of roster stuck in the 67-71 generic band; 60% sharing one rating (67); compressed spread (3); no player >=80 (top 70),45,45,37,67.6,71.3,70,74,3,3,"Era data gap + signal starvation: the source carries bio rows but little per-game evidence for depth/defense/OL, so the pre-fix engine collapsed the unrankable majority onto the 67-71 fallback and could not separate the roster.","Engine rebuilt — role-tier priors, within-roster depth ranking, era-relative percentile, and position-specific grading (OL/EDGE/DT/LB/CB/S/K/P graded without offensive box scores); fallback now role-graded 55-92 carrying rating_source/confidence/reason/needs_manual_review.",no — residual flatness is the documented pre-1999 data gap (bio-only depth)
LAC,Los Angeles Chargers,1992,98.4% of roster stuck in the 67-71 generic band; 61.3% sharing one rating (69); compressed spread (7); no player >=80 (top 74),62,61,0,69.1,73.9,74,95,7,23,"Era data gap + signal starvation: the source carries bio rows but little per-game evidence for depth/defense/OL, so the pre-fix engine collapsed the unrankable majority onto the 67-71 fallback and could not separate the roster.","Engine rebuilt — role-tier priors, within-roster depth ranking, era-relative percentile, and position-specific grading (OL/EDGE/DT/LB/CB/S/K/P graded without offensive box scores); fallback now role-graded 55-92 carrying rating_source/confidence/reason/needs_manual_review. Curated overrides: Junior Seau.",no — residual flatness is the documented pre-1999 data gap (bio-only depth)
DEN,Denver Broncos,1990,100% of roster stuck in the 67-71 generic band; 55.4% sharing one rating (68); compressed spread (3); no player >=80 (top 70),56,56,3,68.3,72.4,70,75,3,4,"Era data gap + signal starvation: the source carries bio rows but little per-game evidence for depth/defense/OL, so the pre-fix engine collapsed the unrankable majority onto the 67-71 fallback and could not separate the roster.","Engine rebuilt — role-tier priors, within-roster depth ranking, era-relative percentile, and position-specific grading (OL/EDGE/DT/LB/CB/S/K/P graded without offensive box scores); fallback now role-graded 55-92 carrying rating_source/confidence/reason/needs_manual_review.",no — residual flatness is the documented pre-1999 data gap (bio-only depth)
PIT,Pittsburgh Steelers,1981,100% of roster stuck in the 67-71 generic band; 56.3% sharing one rating (70); compressed spread (3); no player >=80 (top 71),48,48,0,70.1,74.8,71,77,3,4,"Era data gap + signal starvation: the source carries bio rows but little per-game evidence for depth/defense/OL, so the pre-fix engine collapsed the unrankable majority onto the 67-71 fallback and could not separate the roster.","Engine rebuilt — role-tier priors, within-roster depth ranking, era-relative percentile, and position-specific grading (OL/EDGE/DT/LB/CB/S/K/P graded without offensive box scores); fallback now role-graded 55-92 carrying rating_source/confidence/reason/needs_manual_review.",no — residual flatness is the documented pre-1999 data gap (bio-only depth)
ATL,Atlanta Falcons,1993,98.3% of roster stuck in the 67-71 generic band; 48.3% sharing one rating (68); compressed spread (6); no player >=80 (top 73),58,57,31,67.9,72.2,73,98,6,27,"Era data gap + signal starvation: the source carries bio rows but little per-game evidence for depth/defense/OL, so the pre-fix engine collapsed the unrankable majority onto the 67-71 fallback and could not separate the roster.","Engine rebuilt — role-tier priors, within-roster depth ranking, era-relative percentile, and position-specific grading (OL/EDGE/DT/LB/CB/S/K/P graded without offensive box scores); fallback now role-graded 55-92 carrying rating_source/confidence/reason/needs_manual_review. Curated overrides: Deion Sanders.",no — residual flatness is the documented pre-1999 data gap (bio-only depth)
MIN,Minnesota Vikings,1982,100% of roster stuck in the 67-71 generic band; 58.5% sharing one rating (69); compressed spread (4); no player >=80 (top 71),53,53,0,69.3,73.6,71,76,4,4,"Era data gap + signal starvation: the source carries bio rows but little per-game evidence for depth/defense/OL, so the pre-fix engine collapsed the unrankable majority onto the 67-71 fallback and could not separate the roster.","Engine rebuilt — role-tier priors, within-roster depth ranking, era-relative percentile, and position-specific grading (OL/EDGE/DT/LB/CB/S/K/P graded without offensive box scores); fallback now role-graded 55-92 carrying rating_source/confidence/reason/needs_manual_review.",no — residual flatness is the documented pre-1999 data gap (bio-only depth)
NE,New England Patriots,1982,100% of roster stuck in the 67-71 generic band; 50% sharing one rating (69); compressed spread (4); no player >=80 (top 71),54,54,2,69.4,73.7,71,75,4,4,"Era data gap + signal starvation: the source carries bio rows but little per-game evidence for depth/defense/OL, so the pre-fix engine collapsed the unrankable majority onto the 67-71 fallback and could not separate the roster.","Engine rebuilt — role-tier priors, within-roster depth ranking, era-relative percentile, and position-specific grading (OL/EDGE/DT/LB/CB/S/K/P graded without offensive box scores); fallback now role-graded 55-92 carrying rating_source/confidence/reason/needs_manual_review.",no — residual flatness is the documented pre-1999 data gap (bio-only depth)
MIN,Minnesota Vikings,2017,36.8% of roster in the 67-71 generic band,57,21,13,71.2,73.3,90,92,34,41,"Engine over-compression: rate-stats had no volume floor and defense/OL evidence was under-weighted, so rankable players were flattened into the 67-71 band while a few volume compilers were inflated.","Engine rebuilt — role-tier priors, within-roster depth ranking, era-relative percentile, and position-specific grading (OL/EDGE/DT/LB/CB/S/K/P graded without offensive box scores); fallback now role-graded 55-92 carrying rating_source/confidence/reason/needs_manual_review. Curated overrides: Case Keenum.",no
IND,Indianapolis Colts,2022,listed for review; pre-fix distribution within tolerance,65,20,12,70.6,72.2,87,92,27,36,"Engine over-compression: rate-stats had no volume floor and defense/OL evidence was under-weighted, so rankable players were flattened into the 67-71 band while a few volume compilers were inflated.","Engine rebuilt — role-tier priors, within-roster depth ranking, era-relative percentile, and position-specific grading (OL/EDGE/DT/LB/CB/S/K/P graded without offensive box scores); fallback now role-graded 55-92 carrying rating_source/confidence/reason/needs_manual_review. Curated overrides: Quenton Nelson.",no
WAS,Washington Commanders,2023,listed for review; pre-fix distribution within tolerance,76,21,10,70.1,71.1,91,87,35,37,"Engine over-compression: rate-stats had no volume floor and defense/OL evidence was under-weighted, so rankable players were flattened into the 67-71 band while a few volume compilers were inflated.","Engine rebuilt — role-tier priors, within-roster depth ranking, era-relative percentile, and position-specific grading (OL/EDGE/DT/LB/CB/S/K/P graded without offensive box scores); fallback now role-graded 55-92 carrying rating_source/confidence/reason/needs_manual_review. Curated overrides: Sam Howell.",no
PIT,Pittsburgh Steelers,2022,listed for review; pre-fix distribution within tolerance,67,22,14,70.7,72.3,88,95,31,43,"Engine over-compression: rate-stats had no volume floor and defense/OL evidence was under-weighted, so rankable players were flattened into the 67-71 band while a few volume compilers were inflated.","Engine rebuilt — role-tier priors, within-roster depth ranking, era-relative percentile, and position-specific grading (OL/EDGE/DT/LB/CB/S/K/P graded without offensive box scores); fallback now role-graded 55-92 carrying rating_source/confidence/reason/needs_manual_review. Curated overrides: T.J. Watt.",no
