team_code,team_name,season,suspicious_reason,percent_players_67_to_71,percent_same_rating,highest_rated_player,highest_ovr,average_ovr,rating_spread,recommended_action
ARI,Arizona Cardinals,1969,>=50% in 67-71 band; >=40% share one rating (71); compressed spread (3); no player >=80 (top 74),71.7,71.7,Bob Reynolds,74,71.5,3,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
ATL,Atlanta Falcons,1983,>=50% in 67-71 band; >=40% share one rating (71); compressed spread (4); no player >=80 (top 75),71.7,71.7,Mick Luckhurst,75,71.5,4,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
ARI,Arizona Cardinals,1983,>=50% in 67-71 band; >=40% share one rating (71); compressed spread (12),71.4,71.4,Al Baker,83,72,12,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
ATL,Atlanta Falcons,1971,>=50% in 67-71 band; >=40% share one rating (71); compressed spread (4); no player >=80 (top 75),71.4,71.4,Bill Bell,75,71.4,4,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
ATL,Atlanta Falcons,1980,>=50% in 67-71 band; >=40% share one rating (71); compressed spread (11),71.4,71.4,Jeff Merrow,82,71.8,11,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
ARI,Arizona Cardinals,1979,>=50% in 67-71 band; >=40% share one rating (71); compressed spread (10),70.4,70.4,Charles Davis,81,72,10,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
ARI,Arizona Cardinals,1967,>=50% in 67-71 band; >=40% share one rating (71); compressed spread (10),69.6,69.6,Billy Gambrell,81,72,10,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
ATL,Atlanta Falcons,1985,>=50% in 67-71 band; >=40% share one rating (71); compressed spread (4); no player >=80 (top 74),69.6,66.1,Brett Miller,74,71.4,4,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
ARI,Arizona Cardinals,1966,>=50% in 67-71 band; >=40% share one rating (71); compressed spread (10),67.4,67.4,Billy Gambrell,81,72.3,10,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
ATL,Atlanta Falcons,1972,>=50% in 67-71 band; >=40% share one rating (71); compressed spread (11),67.4,67.4,Claude Humphrey,82,71.9,11,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
ATL,Atlanta Falcons,1979,>=50% in 67-71 band; >=40% share one rating (71); compressed spread (4); no player >=80 (top 75),66.7,66.7,Tim Mazzetti,75,71.5,4,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
BUF,Buffalo Bills,1965,>=50% in 67-71 band; >=40% share one rating (71); compressed spread (11),66.7,66.7,Ron McDole,82,71.8,11,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
ATL,Atlanta Falcons,1978,>=50% in 67-71 band; >=40% share one rating (71); compressed spread (4); no player >=80 (top 74),66,62.3,Marv Montgomery,74,71.5,4,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
ATL,Atlanta Falcons,1995,>=50% in 67-71 band; >=40% share one rating (71),65.5,65.5,Chris Doleman,92,71.9,21,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
ARI,Arizona Cardinals,1965,>=50% in 67-71 band; >=40% share one rating (71); compressed spread (10),65.2,65.2,Billy Gambrell,81,72,10,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
ATL,Atlanta Falcons,1970,>=50% in 67-71 band; >=40% share one rating (71); compressed spread (11),65.2,65.2,Grady Cavness,82,72.2,11,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
ATL,Atlanta Falcons,1968,>=50% in 67-71 band; >=40% share one rating (71); compressed spread (4); no player >=80 (top 75),64.7,64.7,Bob Etter,75,71.5,4,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
ATL,Atlanta Falcons,1966,>=50% in 67-71 band; >=40% share one rating (71); compressed spread (11),64.2,64.2,Bobby Richards,82,72.1,11,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
ATL,Atlanta Falcons,1976,>=50% in 67-71 band; >=40% share one rating (71); compressed spread (9),64.2,64.2,Ray Brown,80,71.8,9,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
ATL,Atlanta Falcons,1969,>=50% in 67-71 band; >=40% share one rating (71); compressed spread (3); no player >=80 (top 74),63.8,63.8,Bill Sandeman,74,71.5,3,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
ATL,Atlanta Falcons,1974,>=50% in 67-71 band; >=40% share one rating (71); compressed spread (12),63.8,63.8,Claude Humphrey,83,72.2,12,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
ARI,Arizona Cardinals,1977,>=50% in 67-71 band; >=40% share one rating (71); compressed spread (12),63.3,59.2,Ike Harris,82,72.3,12,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
BUF,Buffalo Bills,1977,>=50% in 67-71 band; >=40% share one rating (71); compressed spread (11),62.7,58.8,Doug Jones,81,71.8,11,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
ATL,Atlanta Falcons,1989,>=50% in 67-71 band; >=40% share one rating (71),62.5,58.9,Deion Sanders,98,72,28,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
ATL,Atlanta Falcons,1984,>=50% in 67-71 band; >=40% share one rating (71); compressed spread (9),62.1,62.1,Kenny Johnson,80,71.8,9,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
BUF,Buffalo Bills,1974,>=50% in 67-71 band; >=40% share one rating (71); compressed spread (5); no player >=80 (top 75),60.4,56.6,John Leypoldt,75,71.5,5,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
ATL,Atlanta Falcons,1977,>=50% in 67-71 band; >=40% share one rating (71); compressed spread (10),59.6,59.6,Ray Brown,81,71.9,10,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
ATL,Atlanta Falcons,1994,>=50% in 67-71 band; >=40% share one rating (71),59.6,56.1,Chris Doleman,92,71.9,22,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
ATL,Atlanta Falcons,1997,>=50% in 67-71 band; >=40% share one rating (71); compressed spread (10),59.6,56.1,Devin Bush,80,71.8,10,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
BUF,Buffalo Bills,1973,>=50% in 67-71 band; >=40% share one rating (71); compressed spread (10),59.6,59.6,Paul Seymour,81,71.8,10,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
ATL,Atlanta Falcons,1973,>=50% in 67-71 band; >=40% share one rating (71); compressed spread (9),59.1,59.1,Clarence Ellis,80,71.9,9,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
ATL,Atlanta Falcons,1998,>=50% in 67-71 band; >=40% share one rating (71); compressed spread (9),58.9,58.9,Eugene Robinson,80,71.7,9,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
ATL,Atlanta Falcons,1982,>=50% in 67-71 band; >=40% share one rating (71); compressed spread (10),58.5,54.7,Bob Glazebrook,80,72.1,10,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
BUF,Buffalo Bills,1967,>=50% in 67-71 band; >=40% share one rating (71); compressed spread (4); no player >=80 (top 75),58.3,58.3,Mike Mercer,75,71.6,4,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
ATL,Atlanta Falcons,1990,>=50% in 67-71 band; >=40% share one rating (71),58.2,58.2,Deion Sanders,98,72.3,27,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
BUF,Buffalo Bills,1995,>=50% in 67-71 band; >=40% share one rating (71),57.9,57.9,Bruce Smith,97,72.3,26,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
ATL,Atlanta Falcons,1988,>=50% in 67-71 band; >=40% share one rating (71); compressed spread (9),57.6,57.6,Tony Casillas,80,71.8,9,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
BAL,Baltimore Ravens,1998,>=50% in 67-71 band; >=40% share one rating (71),57.1,57.1,Jonathan Ogden,96,72.3,25,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
BUF,Buffalo Bills,1979,>=50% in 67-71 band; >=40% share one rating (71); compressed spread (11),56.9,52.9,Fred Smerlas,81,71.8,11,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
BAL,Baltimore Ravens,1997,>=50% in 67-71 band; >=40% share one rating (71),56.7,56.7,Jonathan Ogden,96,72,25,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
ATL,Atlanta Falcons,1991,>=50% in 67-71 band; >=40% share one rating (71),56.4,56.4,Deion Sanders,98,72.3,27,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
BUF,Buffalo Bills,1990,>=50% in 67-71 band; >=40% share one rating (71),56.4,52.7,Bruce Smith,97,72.4,27,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
ATL,Atlanta Falcons,1996,>=50% in 67-71 band; >=40% share one rating (71); compressed spread (3); no player >=80 (top 74),56.1,56.1,Antone Davis,74,71.7,3,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
ATL,Atlanta Falcons,1967,>=50% in 67-71 band; >=40% share one rating (71); compressed spread (4); no player >=80 (top 75),56,56,Wade Traynham,75,71.7,4,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
BUF,Buffalo Bills,1989,>=50% in 67-71 band; >=40% share one rating (71),56,54,Bruce Smith,97,72.3,27,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
BUF,Buffalo Bills,1975,>=50% in 67-71 band; >=40% share one rating (71); compressed spread (11),55.6,55.6,Dwight Harrison,82,72.4,11,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
BUF,Buffalo Bills,1993,>=50% in 67-71 band; >=40% share one rating (71),55.4,55.4,Bruce Smith,97,72.1,26,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
BUF,Buffalo Bills,1970,>=50% in 67-71 band; >=40% share one rating (71); compressed spread (9),55.1,55.1,John Pitts,80,71.9,9,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
ATL,Atlanta Falcons,1975,>=50% in 67-71 band; >=40% share one rating (71); compressed spread (10),54.3,54.3,Mike Lewis,81,72.3,10,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
ATL,Atlanta Falcons,1986,>=50% in 67-71 band; >=40% share one rating (71); compressed spread (4); no player >=80 (top 74),53.6,50,Brett Miller,74,71.6,4,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
ATL,Atlanta Falcons,1993,>=50% in 67-71 band; >=40% share one rating (71),53.4,53.4,Deion Sanders,98,72.2,27,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
ATL,Atlanta Falcons,1981,>=50% in 67-71 band; >=40% share one rating (71); compressed spread (9),53.2,53.2,Bob Glazebrook,80,72.2,9,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
BUF,Buffalo Bills,1985,>=50% in 67-71 band; >=40% share one rating (71),52.8,52.8,Bruce Smith,97,72.4,26,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
BUF,Buffalo Bills,1968,>=50% in 67-71 band; >=40% share one rating (71); compressed spread (11),52.1,52.1,Ron McDole,82,72,11,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
BUF,Buffalo Bills,1971,>=50% in 67-71 band; >=40% share one rating (71); compressed spread (12),52,44,Alvin Wyatt,82,72.1,12,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
BUF,Buffalo Bills,1978,>=50% in 67-71 band; >=40% share one rating (71); compressed spread (10),52,52,Reuben Gant,81,71.9,10,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
BUF,Buffalo Bills,1983,>=50% in 67-71 band; >=40% share one rating (71); compressed spread (4); no player >=80 (top 75),51.8,51.8,Joe Danelo,75,71.7,4,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
BUF,Buffalo Bills,1984,>=50% in 67-71 band; >=40% share one rating (71); compressed spread (11),51.7,48.3,Fred Smerlas,81,71.8,11,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
BUF,Buffalo Bills,1994,>=50% in 67-71 band; >=40% share one rating (71),51.7,51.7,Bruce Smith,97,72.1,26,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
ATL,Atlanta Falcons,1992,>=50% in 67-71 band; >=40% share one rating (71),50,50,Deion Sanders,98,72.4,27,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
BUF,Buffalo Bills,1992,>=50% in 67-71 band; >=40% share one rating (71),50,50,Bruce Smith,97,72.4,26,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
BUF,Buffalo Bills,1982,>=35% in 67-71 band; >=40% share one rating (71); compressed spread (10),49.1,45.3,Bill Simpson,80,72.1,10,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
BUF,Buffalo Bills,1988,>=35% in 67-71 band; >=40% share one rating (71),49.1,49.1,Bruce Smith,97,72.5,26,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
CHI,Chicago Bears,1991,>=35% in 67-71 band; >=40% share one rating (71); compressed spread (4); no player >=80 (top 74),49.1,45.5,Jim Covert,74,71.7,4,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
BUF,Buffalo Bills,1980,>=35% in 67-71 band; >=40% share one rating (71); compressed spread (10),49,49,Fred Smerlas,81,71.9,10,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
