player_id,name,team_code,season,position,current_overall,reason_flagged,recommended_next_step
sonny-jurgensen,Sonny Jurgensen,WAS,1968,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
joe-namath,Joe Namath,NYJ,1969,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
george-mira,George Mira,PHI,1969,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
norm-snead,Norm Snead,PHI,1969,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
dick-shiner,Dick Shiner,PIT,1969,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
kent-nix,Kent Nix,PIT,1969,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
terry-hanratty,Terry Hanratty,PIT,1969,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
john-brodie,John Brodie,SF,1969,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
steve-spurrier,Steve Spurrier,SF,1969,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
karl-sweetan,Karl Sweetan,STL,1969,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
roman-gabriel,Roman Gabriel,STL,1969,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
bob-davis,Bob Davis,TEN,1969,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
don-trull,Don Trull,TEN,1969,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
pete-beathard,Pete Beathard,TEN,1969,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
frank-ryan,Frank Ryan,WAS,1969,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
gary-beban,Gary Beban,WAS,1969,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
sonny-jurgensen,Sonny Jurgensen,WAS,1969,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
bob-davis,Bob Davis,NYJ,1970,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
joe-namath,Joe Namath,NYJ,1970,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
norm-snead,Norm Snead,PHI,1970,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
rick-arrington,Rick Arrington,PHI,1970,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
terry-bradshaw,Terry Bradshaw,PIT,1970,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
terry-hanratty,Terry Hanratty,PIT,1970,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
john-brodie,John Brodie,SF,1970,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
steve-spurrier,Steve Spurrier,SF,1970,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
karl-sweetan,Karl Sweetan,STL,1970,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
roman-gabriel,Roman Gabriel,STL,1970,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
bob-naponic,Bob Naponic,TEN,1970,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
charley-johnson,Charley Johnson,TEN,1970,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
jerry-rhome,Jerry Rhome,TEN,1970,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
frank-ryan,Frank Ryan,WAS,1970,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
sonny-jurgensen,Sonny Jurgensen,WAS,1970,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
jim-ward,Jim Ward,PHI,1971,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
pete-liske,Pete Liske,PHI,1971,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
rick-arrington,Rick Arrington,PHI,1971,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
bob-leahy,Bob Leahy,PIT,1971,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
terry-bradshaw,Terry Bradshaw,PIT,1971,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
terry-hanratty,Terry Hanratty,PIT,1971,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
john-brodie,John Brodie,SF,1971,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
steve-spurrier,Steve Spurrier,SF,1971,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
jerry-rhome,Jerry Rhome,STL,1971,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
roman-gabriel,Roman Gabriel,STL,1971,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
charley-johnson,Charley Johnson,TEN,1971,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
dan-pastorini,Dan Pastorini,TEN,1971,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
lynn-dickey,Lynn Dickey,TEN,1971,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
billy-kilmer,Billy Kilmer,WAS,1971,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
sam-wyche,Sam Wyche,WAS,1971,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
sonny-jurgensen,Sonny Jurgensen,WAS,1971,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
terry-hanratty,Terry Hanratty,PIT,1972,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
joe-reed,Joe Reed,SF,1972,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
john-brodie,John Brodie,SF,1972,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
steve-spurrier,Steve Spurrier,SF,1972,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
pete-beathard,Pete Beathard,STL,1972,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
roman-gabriel,Roman Gabriel,STL,1972,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
dan-pastorini,Dan Pastorini,TEN,1972,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
ed-baker,Ed Baker,TEN,1972,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
jim-fassel,Jim Fassel,TEN,1972,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
kelly-cochrane,Kelly Cochrane,TEN,1972,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
kent-nix,Kent Nix,TEN,1972,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
billy-kilmer,Billy Kilmer,WAS,1972,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
sam-wyche,Sam Wyche,WAS,1972,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
sonny-jurgensen,Sonny Jurgensen,WAS,1972,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
roman-gabriel,Roman Gabriel,PHI,1973,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
joe-gilliam,Joe Gilliam,PIT,1973,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
