player_id,season,team_code,status,rating_source,rating_confidence,needs_manual_review,note,overall,speed,strength,awareness,pass_rating,run_rating,receiving,blocking,pass_block,run_block,pass_rush,run_defense,tackling,coverage,man_coverage,zone_coverage,hands,kicking,punting,clutch,playoff_clutch,durability
daryle-lamonica,1965,BUF,generated_low_confidence,generated,0.33,true,Rated 72 (QB): position-based prior (no starts or stats on file) — low confidence.,72,60,46,74,75,53,35,36,37,31,35,33,32,34,35,35,61,37,36,73,58,60
floyd-hudlow,1965,BUF,generated_low_confidence,generated,0.33,,Rated 72 (CB): position-based prior (no starts or stats on file) — low confidence.,72,70,50,63,33,33,35,32,32,35,31,31,63,73,74,60,62,35,36,64,64,65
gene-sykes,1965,BUF,generated_low_confidence,generated,0.33,,Rated 72 (CB): position-based prior (no starts or stats on file) — low confidence.,72,72,50,62,32,35,32,31,32,33,34,36,61,74,71,61,58,33,34,64,62,61
george-saimes,1965,BUF,generated_low_confidence,generated,0.33,,Rated 72 (CB): position-based prior (no starts or stats on file) — low confidence.,72,72,49,62,36,34,36,32,31,36,35,33,63,72,74,64,57,35,33,59,60,65
hagood-clarke,1965,BUF,generated_low_confidence,generated,0.33,,Rated 72 (CB): position-based prior (no starts or stats on file) — low confidence.,72,72,50,63,36,34,36,34,34,32,33,33,63,69,70,61,58,35,35,58,59,64
jack-kemp,1965,BUF,generated_low_confidence,generated,0.33,true,Rated 72 (QB): position-based prior (no starts or stats on file) — low confidence.,72,64,50,72,70,51,36,35,35,32,36,35,33,36,35,34,61,34,35,73,60,66
tom-janik,1965,BUF,generated_low_confidence,generated,0.33,,Rated 72 (CB): position-based prior (no starts or stats on file) — low confidence.,72,72,50,61,34,35,32,36,35,37,32,35,64,75,71,58,58,35,36,63,61,65
al-bemiller,1965,BUF,generated_low_confidence,generated,0.33,,Rated 71 (C): position-based prior (no starts or stats on file) — low confidence.,71,46,70,59,33,36,31,70,68,73,34,33,35,31,36,31,36,36,32,52,51,60
bill-groman,1965,BUF,generated_low_confidence,generated,0.33,,Rated 71 (WR): position-based prior (no starts or stats on file) — low confidence.,71,72,47,63,33,57,71,53,36,32,35,35,32,31,32,35,70,35,35,60,60,61
bill-laskey,1965,BUF,generated_low_confidence,generated,0.33,,Rated 71 (LB): position-based prior (no starts or stats on file) — low confidence.,71,62,62,69,35,33,37,35,33,32,62,70,69,64,52,63,36,34,33,64,61,60
billy-joe,1965,BUF,generated_low_confidence,generated,0.33,,Rated 71 (RB): position-based prior (no starts or stats on file) — low confidence.,71,73,73,58,33,73,57,53,52,32,35,36,33,31,32,35,65,36,35,62,64,64
billy-shaw,1965,BUF,generated_low_confidence,generated,0.33,,Rated 71 (LG): position-based prior (no starts or stats on file) — low confidence.,71,51,71,57,34,35,35,71,69,73,32,34,33,35,33,31,33,35,32,52,51,67
bo-roberson,1965,BUF,generated_low_confidence,generated,0.33,,Rated 71 (WR): position-based prior (no starts or stats on file) — low confidence.,71,73,47,57,34,64,72,48,35,33,36,33,32,31,31,36,70,37,36,62,58,62
bobby-smith,1965,BUF,generated_low_confidence,generated,0.33,,Rated 71 (RB): position-based prior (no starts or stats on file) — low confidence.,71,71,69,59,36,74,63,46,50,32,32,37,33,36,36,32,57,36,35,61,58,59
charley-ferguson,1965,BUF,generated_low_confidence,generated,0.33,,Rated 71 (WR): position-based prior (no starts or stats on file) — low confidence.,71,69,52,64,33,59,72,46,33,31,34,35,34,35,35,37,73,34,35,57,57,64
dave-behrman,1965,BUF,generated_low_confidence,generated,0.33,,Rated 71 (C): position-based prior (no starts or stats on file) — low confidence.,71,47,71,57,32,36,33,70,72,73,32,36,32,31,36,35,35,34,34,49,49,63
donnie-stone,1965,BUF,generated_low_confidence,generated,0.33,,Rated 71 (RB): position-based prior (no starts or stats on file) — low confidence.,71,71,69,63,37,74,62,48,50,36,36,34,34,34,32,37,64,32,32,61,63,65
dudley-meredith,1965,BUF,generated_low_confidence,generated,0.33,,Rated 71 (DT): position-based prior (no starts or stats on file) — low confidence.,71,51,70,63,33,35,31,33,36,34,71,70,65,33,34,35,35,33,35,60,60,67
ed-rutkowski,1965,BUF,generated_low_confidence,generated,0.33,,Rated 71 (WR): position-based prior (no starts or stats on file) — low confidence.,71,74,46,59,35,61,69,46,31,33,33,32,33,33,32,34,71,36,36,60,59,61
elbert-dubenion,1965,BUF,generated_low_confidence,generated,0.33,,Rated 71 (WR): position-based prior (no starts or stats on file) — low confidence.,71,69,46,62,36,63,72,47,36,35,32,33,34,33,36,33,70,36,35,61,60,64
ernie-warlick,1965,BUF,generated_low_confidence,generated,0.33,,Rated 71 (TE): position-based prior (no starts or stats on file) — low confidence.,71,59,64,61,36,49,73,71,57,57,35,33,36,37,33,32,71,34,35,62,63,61
george-flint,1965,BUF,generated_low_confidence,generated,0.33,,Rated 71 (LG): position-based prior (no starts or stats on file) — low confidence.,71,47,68,62,32,32,34,70,71,68,34,34,36,31,33,33,34,34,32,49,52,63
glenn-bass,1965,BUF,generated_low_confidence,generated,0.33,,Rated 71 (WR): position-based prior (no starts or stats on file) — low confidence.,71,69,49,60,31,64,69,48,31,37,35,31,35,31,34,33,74,35,31,60,59,61
harry-jacobs,1965,BUF,generated_low_confidence,generated,0.33,,Rated 71 (LB): position-based prior (no starts or stats on file) — low confidence.,71,60,57,69,36,34,31,34,35,35,60,70,69,58,46,63,33,31,34,61,57,60
henry-schmidt,1965,BUF,generated_low_confidence,generated,0.33,,Rated 71 (DT): position-based prior (no starts or stats on file) — low confidence.,71,49,69,62,31,32,34,34,33,32,74,71,58,32,32,32,33,37,34,61,58,65
jack-tracey,1965,BUF,generated_low_confidence,generated,0.33,,Rated 71 (LB): position-based prior (no starts or stats on file) — low confidence.,71,63,61,70,35,35,34,35,35,35,58,73,71,57,53,58,36,33,37,59,59,62
jim-dunaway,1965,BUF,generated_low_confidence,generated,0.33,,Rated 71 (DT): position-based prior (no starts or stats on file) — low confidence.,71,48,72,62,31,35,32,32,35,36,71,74,61,32,33,34,32,34,32,57,59,62
joe-auer,1965,BUF,generated_low_confidence,generated,0.33,,Rated 71 (RB): position-based prior (no starts or stats on file) — low confidence.,71,69,73,64,32,68,60,50,48,36,32,33,33,35,37,31,63,36,32,59,64,67
joe-o-donnell,1965,BUF,generated_low_confidence,generated,0.33,,Rated 71 (LG): position-based prior (no starts or stats on file) — low confidence.,71,47,73,61,33,33,36,68,70,69,35,36,35,32,34,35,35,32,34,48,53,63
marty-schottenheimer,1965,BUF,generated_low_confidence,generated,0.33,,Rated 71 (LB): position-based prior (no starts or stats on file) — low confidence.,71,58,63,71,34,34,35,35,36,32,64,69,68,59,47,65,34,34,31,60,61,61
mike-stratton,1965,BUF,generated_low_confidence,generated,0.33,,Rated 71 (LB): position-based prior (no starts or stats on file) — low confidence.,71,59,64,68,34,35,34,34,31,36,58,72,70,62,46,63,36,35,36,64,63,65
paul-costa,1965,BUF,generated_low_confidence,generated,0.33,,Rated 71 (TE): position-based prior (no starts or stats on file) — low confidence.,71,57,64,60,33,48,72,70,59,62,36,36,35,33,34,37,70,34,32,61,65,66
paul-maguire,1965,BUF,generated_low_confidence,generated,0.33,,Rated 71 (LB): position-based prior (no starts or stats on file) — low confidence.,71,64,63,71,35,31,33,34,36,35,62,71,72,57,51,57,34,33,32,62,64,59
pete-mills,1965,BUF,generated_low_confidence,generated,0.33,,Rated 71 (WR): position-based prior (no starts or stats on file) — low confidence.,71,69,51,59,32,60,69,50,31,31,31,36,34,35,33,35,69,32,31,64,59,65
tom-keating,1965,BUF,generated_low_confidence,generated,0.33,,Rated 71 (DT): position-based prior (no starts or stats on file) — low confidence.,71,46,72,59,31,34,36,33,36,31,68,69,60,34,31,35,35,34,31,61,61,61
tom-sestak,1965,BUF,generated_low_confidence,generated,0.33,,Rated 71 (DT): position-based prior (no starts or stats on file) — low confidence.,71,49,69,61,31,37,34,36,31,35,70,69,62,32,32,36,36,36,32,58,57,63
wray-carlton,1965,BUF,generated_low_confidence,generated,0.33,,Rated 71 (RB): position-based prior (no starts or stats on file) — low confidence.,71,70,74,60,35,68,58,49,47,31,35,32,33,32,37,34,64,36,31,63,58,62
doug-atkins,1965,CHI,generated_low_confidence,generated,0.45,,Rated 82 (EDGE): lead starter by within-roster depth rank — low confidence.,82,82,68,69,38,37,35,35,35,35,83,68,80,52,36,38,35,36,35,68,71,71
dick-gordon,1965,CHI,generated_low_confidence,generated,0.45,,Rated 81 (WR): lead starter by within-roster depth rank — low confidence.,81,80,53,71,35,69,81,54,35,36,36,38,34,37,35,34,81,35,36,68,65,67
jim-jones,1965,CHI,generated_low_confidence,generated,0.45,,Rated 81 (WR): lead starter by within-roster depth rank — low confidence.,81,80,54,70,38,70,81,55,38,35,38,35,37,33,33,34,79,35,37,70,65,67
ed-o-bradovich,1965,CHI,generated_low_confidence,generated,0.45,,Rated 79 (EDGE): starter by within-roster depth rank — low confidence.,79,78,66,68,35,36,38,36,34,34,78,64,78,51,36,34,37,34,35,65,62,69
johnny-morris,1965,CHI,generated_low_confidence,generated,0.45,,Rated 77 (WR): starter by within-roster depth rank — low confidence.,77,79,49,68,34,62,80,48,32,36,37,37,37,34,35,34,79,36,37,65,67,64
bob-wetoska,1965,CHI,generated_low_confidence,generated,0.33,,Rated 74 (LT): position-based prior (no starts or stats on file) — low confidence.,74,47,77,59,31,37,35,73,73,72,34,35,33,34,35,34,36,33,34,51,53,65
dick-leeuwenburg,1965,CHI,generated_low_confidence,generated,0.33,,Rated 74 (LT): position-based prior (no starts or stats on file) — low confidence.,74,51,74,65,35,36,32,74,72,73,37,32,37,33,34,32,33,35,36,52,54,63
herman-lee,1965,CHI,generated_low_confidence,generated,0.33,,Rated 74 (LT): position-based prior (no starts or stats on file) — low confidence.,74,47,72,60,37,37,37,74,71,74,36,36,34,36,36,34,33,35,35,49,49,66
bennie-mcrae,1965,CHI,generated_low_confidence,generated,0.33,,Rated 72 (CB): position-based prior (no starts or stats on file) — low confidence.,72,74,47,64,31,34,36,35,35,32,33,31,60,71,70,64,59,35,36,59,63,61
billy-wade,1965,CHI,generated_low_confidence,generated,0.33,true,Rated 72 (QB): position-based prior (no starts or stats on file) — low confidence.,72,65,52,69,75,53,32,36,37,32,33,32,36,36,33,33,60,31,32,71,61,62
bobby-joe-green,1965,CHI,generated_low_confidence,generated,0.45,,Rated 72 (P): lead starter by within-roster depth rank — low confidence.,72,33,34,60,33,36,36,36,32,35,31,34,36,35,31,35,36,48,74,59,59,66
dave-whitsell,1965,CHI,generated_low_confidence,generated,0.33,,Rated 72 (CB): position-based prior (no starts or stats on file) — low confidence.,72,75,53,64,34,35,34,35,36,35,35,35,60,71,73,59,65,33,34,63,60,67
dick-evey,1965,CHI,generated_low_confidence,generated,0.33,,Rated 72 (DT): position-based prior (no starts or stats on file) — low confidence.,72,51,74,65,33,32,37,34,35,32,72,72,58,35,35,33,34,33,33,59,59,62
earl-leggett,1965,CHI,generated_low_confidence,generated,0.33,,Rated 72 (DT): position-based prior (no starts or stats on file) — low confidence.,72,48,72,59,32,31,34,33,32,35,73,74,59,33,33,32,37,34,32,59,63,63
j-c-caroline,1965,CHI,generated_low_confidence,generated,0.33,,Rated 72 (CB): position-based prior (no starts or stats on file) — low confidence.,72,72,48,59,36,34,34,34,34,32,34,34,63,71,71,61,61,33,35,58,59,60
john-johnson,1965,CHI,generated_low_confidence,generated,0.33,,Rated 72 (DT): position-based prior (no starts or stats on file) — low confidence.,72,47,74,58,35,31,32,33,33,33,71,72,60,31,35,35,35,32,36,58,60,65
larry-glueck,1965,CHI,generated_low_confidence,generated,0.33,,Rated 72 (CB): position-based prior (no starts or stats on file) — low confidence.,72,69,51,62,36,34,36,32,36,32,33,35,62,73,74,58,65,32,33,62,58,64
larry-morris,1965,CHI,generated_low_confidence,generated,0.33,,Rated 72 (LB): position-based prior (no starts or stats on file) — low confidence.,72,63,58,72,34,34,32,32,35,33,59,74,74,59,54,60,32,31,34,63,57,60
mike-ditka,1965,CHI,generated_low_confidence,generated,0.33,,Rated 72 (TE): position-based prior (no starts or stats on file) — low confidence.,72,62,60,65,32,48,70,71,62,59,35,35,33,33,37,35,74,34,36,59,60,67
mike-reilly,1965,CHI,generated_low_confidence,generated,0.33,,Rated 72 (LB): position-based prior (no starts or stats on file) — low confidence.,72,58,58,72,33,37,32,31,36,35,64,72,72,64,50,63,31,31,37,60,59,67
richie-petitbon,1965,CHI,generated_low_confidence,generated,0.33,,Rated 72 (CB): position-based prior (no starts or stats on file) — low confidence.,72,74,51,61,37,32,31,34,34,34,35,32,60,72,74,58,60,36,36,64,63,65
ron-smith,1965,CHI,generated_low_confidence,generated,0.33,,Rated 72 (CB): position-based prior (no starts or stats on file) — low confidence.,72,73,48,59,32,31,32,32,32,36,36,34,60,69,74,59,62,32,36,59,61,67
rosey-taylor,1965,CHI,generated_low_confidence,generated,0.33,,Rated 72 (CB): position-based prior (no starts or stats on file) — low confidence.,72,73,50,57,33,33,36,34,36,31,31,37,64,74,72,64,58,35,34,61,60,60
rudy-bukich,1965,CHI,generated_low_confidence,generated,0.33,true,Rated 72 (QB): position-based prior (no starts or stats on file) — low confidence.,72,64,49,72,71,48,33,31,31,33,36,36,35,35,35,36,59,32,34,70,58,65
stan-jones,1965,CHI,generated_low_confidence,generated,0.33,,Rated 72 (DT): position-based prior (no starts or stats on file) — low confidence.,72,47,74,63,33,31,35,32,33,36,73,71,60,34,31,33,32,35,31,63,59,63
andy-livingston,1965,CHI,generated_low_confidence,generated,0.33,,Rated 71 (RB): position-based prior (no starts or stats on file) — low confidence.,71,74,73,60,36,71,62,52,52,35,32,32,36,36,35,32,58,35,31,63,60,60
bill-george,1965,CHI,generated_low_confidence,generated,0.33,,Rated 71 (LB): position-based prior (no starts or stats on file) — low confidence.,71,64,63,71,36,32,36,32,31,34,58,73,72,59,53,60,36,36,33,62,60,65
billy-martin,1965,CHI,generated_low_confidence,generated,0.33,,Rated 71 (TE): position-based prior (no starts or stats on file) — low confidence.,71,61,57,58,34,49,70,70,60,62,33,31,31,33,32,33,69,35,36,57,63,64
bob-kilcullen,1965,CHI,generated_low_confidence,generated,0.33,,Rated 71 (DT): position-based prior (no starts or stats on file) — low confidence.,71,46,70,59,31,35,34,32,32,32,73,69,63,33,33,32,36,35,34,57,61,59
charlie-bivins,1965,CHI,generated_low_confidence,generated,0.33,,Rated 71 (RB): position-based prior (no starts or stats on file) — low confidence.,71,73,74,61,36,68,64,49,48,32,33,35,35,36,36,31,63,33,34,63,62,60
dennis-murphy,1965,CHI,generated_low_confidence,generated,0.33,,Rated 71 (DT): position-based prior (no starts or stats on file) — low confidence.,71,51,73,60,33,32,32,36,32,34,72,70,62,35,34,37,33,36,36,62,59,60
dick-butkus,1965,CHI,generated_low_confidence,generated,0.33,,Rated 71 (LB): position-based prior (no starts or stats on file) — low confidence.,71,64,59,69,36,36,34,35,37,34,62,70,74,62,52,64,32,34,31,61,57,63
gale-sayers,1965,CHI,generated_low_confidence,generated,0.33,,Rated 71 (RB): position-based prior (no starts or stats on file) — low confidence.,71,73,69,60,32,73,64,51,52,31,35,36,35,33,32,36,63,36,36,64,57,61
george-seals,1965,CHI,generated_low_confidence,generated,0.33,,Rated 71 (LG): position-based prior (no starts or stats on file) — low confidence.,71,48,69,58,34,33,35,71,70,70,32,32,36,34,35,35,37,32,31,48,52,63
jim-cadile,1965,CHI,generated_low_confidence,generated,0.33,,Rated 71 (LG): position-based prior (no starts or stats on file) — low confidence.,71,46,73,61,35,36,35,72,71,68,34,32,32,35,33,36,36,35,33,46,51,61
jim-purnell,1965,CHI,generated_low_confidence,generated,0.33,,Rated 71 (LB): position-based prior (no starts or stats on file) — low confidence.,71,62,64,70,34,34,33,32,33,36,61,73,73,64,48,61,31,37,32,58,61,64
joe-fortunato,1965,CHI,generated_low_confidence,generated,0.33,,Rated 71 (LB): position-based prior (no starts or stats on file) — low confidence.,71,60,65,72,35,36,36,35,31,33,60,73,73,57,46,63,35,32,33,61,60,64
