player_id,name,season,team_code,position,status,review_status,reviewed_by,last_updated,rating_confidence,reason,overall,speed,strength,awareness,pass_rating,run_rating,receiving,blocking,pass_block,run_block,pass_rush,run_defense,tackling,coverage,man_coverage,zone_coverage,hands,kicking,punting,clutch,playoff_clutch,durability
richard-dent,Richard Dent,1985,CHI,EDGE,,approved,ratings-committee,2026-06-07,,Super Bowl XX MVP and premier edge rusher,95,88,,,,,,,,,97,86,,,,,,,,,95,
dan-hampton,Dan Hampton,1985,CHI,DT,,approved,ratings-committee,2026-06-07,,All-Pro anchor of the 46 defense,91,,93,,,,,,,,88,92,,,,,,,,,,
kurt-warner,Kurt Warner,1999,LAR,QB,,approved,ratings-committee,2026-06-07,,1999 NFL MVP and Super Bowl XXXIV MVP,97,,,95,97,,,,,,,,,,,,,,,95,96,
marshall-faulk,Marshall Faulk,1999,LAR,RB,,approved,ratings-committee,2026-06-07,,"1999 Offensive Player of the Year, dual-threat centerpiece",97,94,,94,,95,96,,,,,,,,,,92,,,,,
orlando-pace,Orlando Pace,1999,LAR,LT,,approved,ratings-committee,2026-06-07,,All-Pro blindside protector,93,,92,,,,,,94,90,,,,,,,,,,,,
isaac-bruce,Isaac Bruce,1999,LAR,WR,,approved,ratings-committee,2026-06-07,,Top receiver of the Greatest Show on Turf,90,91,,,,,91,,,,,,,,,,90,,,,,
jonathan-ogden,Jonathan Ogden,2000,BAL,LT,,approved,ratings-committee,2026-06-07,,All-Pro franchise left tackle,94,,93,,,,,,95,92,,,,,,,,,,,,
rod-woodson,Rod Woodson,2000,BAL,S,,approved,ratings-committee,2026-06-07,,Veteran All-Pro safety on a record-setting defense,90,,,93,,,,,,,,,86,90,,91,,,,,,
shannon-sharpe,Shannon Sharpe,2000,BAL,TE,,approved,ratings-committee,2026-06-07,,Productive Hall of Fame tight end,88,,,85,,,90,,,,,,,,,,88,,,,,
randy-moss,Randy Moss,2007,NE,WR,,approved,ratings-committee,2026-06-07,,Single-season touchdown receptions record (23) in the 16-0 regular season,99,96,,,,,99,,,,,,,,,,95,,,92,88,
wes-welker,Wes Welker,2007,NE,WR,,approved,ratings-committee,2026-06-07,,League-leading possession receiver,90,,,90,,,90,,,,,,,,,,93,,,,,
richard-sherman,Richard Sherman,2013,SEA,CB,,approved,ratings-committee,2026-06-07,,First-team All-Pro shutdown corner of the Legion of Boom,94,90,,92,,,,,,,,,,95,94,93,,,,,,
earl-thomas,Earl Thomas,2013,SEA,S,,approved,ratings-committee,2026-06-07,,"All-Pro free safety, centerpiece of the Legion of Boom",93,93,,93,,,,,,,,,85,92,,94,,,,,,
kam-chancellor,Kam Chancellor,2013,SEA,S,,approved,ratings-committee,2026-06-07,,Hard-hitting strong safety of the Legion of Boom,90,,88,88,,,,,,,,,92,86,,,,,,,,
marshawn-lynch,Marshawn Lynch,2013,SEA,RB,,approved,ratings-committee,2026-06-07,,"Beast Mode, bell-cow of the champion Seahawks",91,88,92,,,93,,,,,,,,,,,,,,90,90,
bobby-wagner,Bobby Wagner,2013,SEA,LB,,approved,ratings-committee,2026-06-07,,All-Pro middle linebacker,90,88,,90,,,,,,,,90,92,84,,,,,,,,
patrick-mahomes,Patrick Mahomes,2018,KC,QB,,approved,ratings-committee,2026-06-07,,"2018 NFL MVP, 50 passing touchdowns",96,,,92,97,,,,,,,,,,,,,,,93,90,
travis-kelce,Travis Kelce,2018,KC,TE,,approved,ratings-committee,2026-06-07,,All-Pro tight end,93,,,90,,,94,,,,,,,,,,92,,,,,
tyreek-hill,Tyreek Hill,2018,KC,WR,,approved,ratings-committee,2026-06-07,,All-Pro deep threat,92,99,,,,,90,,,,,,,,,,86,,,,,
tom-brady,Tom Brady,2020,TB,QB,,approved,ratings-committee,2026-06-07,,Super Bowl LV champion in his first Buccaneers season,90,,,96,90,,,,,,,,,,,,,,,95,97,
mike-evans,Mike Evans,2020,TB,WR,,approved,ratings-committee,2026-06-07,,"No. 1 receiver and perennial 1,000-yard producer",89,89,86,,,,89,,,,,,,,,,85,,,,,
christian-mccaffrey,Christian McCaffrey,2023,SF,RB,,approved,ratings-committee,2026-06-07,,2023 Offensive Player of the Year,95,92,,90,,93,92,,,,,,,,,,90,,,90,,
nick-bosa,Nick Bosa,2023,SF,EDGE,,approved,ratings-committee,2026-06-07,,All-Pro edge rusher and reigning Defensive Player of the Year,94,90,88,,,,,,,,96,88,,,,,,,,,,
trent-williams,Trent Williams,2023,SF,LT,,approved,ratings-committee,2026-06-07,,All-Pro left tackle,94,,92,,,,,,94,93,,,,,,,,,,,,
fred-warner,Fred Warner,2023,SF,LB,,approved,ratings-committee,2026-06-07,,All-Pro off-ball linebacker,92,88,,92,,,,,,,,90,92,88,,89,,,,,,
george-kittle,George Kittle,2023,SF,TE,,approved,ratings-committee,2026-06-07,,All-Pro tight end,91,,,,,,90,88,,88,,,,,,,88,,,,,
00-0015795,Michael Strahan,1996,NYG,EDGE,,approved,ratings-committee,2026-06-07,,Ascending full-time starting defensive end (pre-prime); future Hall of Famer,83,84,84,,,,,,,,84,82,,,,,,,,,,
00-0028986,Case Keenum,2017,MIN,QB,,approved,ratings-committee,2026-06-08,,"Career-best 2017 (13-3 Vikings) was a strong-starter season, not elite; otherwise a journeyman spot starter.",79,,,,,,,,,,,,,,,,,,,,,
00-0034342,Quenton Nelson,2022,IND,LG,,approved,ratings-committee,2026-06-08,,Multiple-time First-Team All-Pro guard; one of the NFL's premier interior offensive linemen.,92,,,,,,,,,,,,,,,,,,,,,
00-0037077,Sam Howell,2023,WAS,QB,,approved,ratings-committee,2026-06-08,,"High-volume but turnover- and sack-prone first full season; a replacement-level starter, not a star.",76,,,,,,,,,,,,,,,,,,,,,
00-0033886,T.J. Watt,2022,PIT,LB,,approved,ratings-committee,2026-06-08,,Perennial All-Pro and 2021 Defensive Player of the Year; elite edge rusher (2022 injury-shortened but dominant per game).,95,,90,,,,,,,,99,,92,,,,,,,,,
00-0031388,Aaron Donald,,,DT,,approved,ratings-committee,2026-06-08,,Three-time Defensive Player of the Year; the most dominant interior defender of his era.,99,,,,,,,,,,,,,,,,,,,,,
00-0017567,Reggie White,,,EDGE,,approved,ratings-committee,2026-06-08,,Two-time Defensive Player of the Year and all-time great pass rusher.,98,,,,,,,,,,,,,,,,,,,,,
00-0015111,Bruce Smith,,,EDGE,,approved,ratings-committee,2026-06-08,,NFL all-time sack leader; 11-time Pro Bowl edge rusher.,97,,,,,,,,,,,,,,,,,,,,,
00-0016128,Lawrence Taylor,,,LB,,approved,ratings-committee,2026-06-08,,Redefined edge pass rushing; three-time DPOY and 1986 NFL MVP.,99,,,,,,,,,,99,,95,,,,,,,,,
00-0011825,Anthony Munoz,,,LT,,approved,ratings-committee,2026-06-08,,Widely regarded as the greatest offensive tackle in NFL history.,98,,,,,,,,,,,,,,,,,,,,,
00-0014324,Deion Sanders,,,CB,,approved,ratings-committee,2026-06-08,,Premier shutdown cornerback; 1994 Defensive Player of the Year.,98,99,,,,,,,,,,,,,99,,,,,,,
00-0000217,Larry Allen,,,LT,,approved,ratings-committee,2026-06-08,,Hall of Fame guard/tackle; among the strongest linemen ever.,96,,,,,,,,,,,,,,,,,,,,,
00-0012322,Jonathan Ogden,,,LG,,approved,ratings-committee,2026-06-08,,Hall of Fame left tackle and franchise blindside protector.,96,,,,,,,,,,,,,,,,,,,,,
00-0014619,Junior Seau,,,LB,,approved,ratings-committee,2026-06-08,,12-time Pro Bowl off-ball linebacker with rare range.,95,,,,,,,,,,,,,,,,,,,,,
00-0018229,Rod Woodson,,,CB,,approved,ratings-committee,2026-06-08,,Hall of Fame cornerback/safety; NFL 75th Anniversary Team.,95,,,,,,,,,,,,,,,,,,,,,
00-0013405,John Randle,,,EDGE,,approved,ratings-committee,2026-06-08,,Hall of Fame interior pass rusher; relentless disruptor.,93,,,,,,,,,,,,,,,,,,,,,
00-0004396,Chris Doleman,,,LB,,approved,ratings-committee,2026-06-08,,Hall of Fame pass rusher with 150.5 career sacks.,92,,,,,,,,,,98,,,,,,,,,,,
00-0016112,Jason Taylor,,,EDGE,,approved,ratings-committee,2026-06-08,,Hall of Fame edge rusher; 2006 Defensive Player of the Year.,93,,,,,,,,,,,,,,,,,,,,,
00-0016344,Zach Thomas,,,LB,,approved,ratings-committee,2026-06-08,,Hall of Fame off-ball linebacker; instinctive tackling machine.,91,,,,,,,,,,,,,,,,,,,,,
00-0016248,Derrick Thomas,,,LB,,approved,ratings-committee,2026-06-08,,Nine-time Pro Bowl edge rusher; single-game sack record holder.,95,,,,,,,,,,99,,,,,,,,,,,
00-0005363,Doug Flutie,1999,BUF,QB,,approved,ratings-overhaul-1999,2026-06-08,0.9,"Playoff QB, dual-threat, 19 pass TD",82,,,,,,,,,,,,,,,,,,,,,
00-0008612,Rob Johnson,1999,BUF,QB,,approved,ratings-overhaul-1999,2026-06-08,0.9,Capable swing starter,73,,,,,,,,,,,,,,,,,,,,,
00-0015091,Antowain Smith,1999,BUF,RB,,approved,ratings-overhaul-1999,2026-06-08,0.9,Committee lead back,73,,,,,,,,,,,,,,,,,,,,,
00-0016331,Thurman Thomas,1999,BUF,RB,,approved,ratings-overhaul-1999,2026-06-08,0.9,Aging legend in reduced role,72,,,,,,,,,,,,,,,,,,,,,
00-0011770,Eric Moulds,1999,BUF,WR,,approved,ratings-overhaul-1999,2026-06-08,0.9,"Pro Bowl WR, 994 yds",86,,,,,,,,,,,,,,,,,,,,,
00-0013499,Andre Reed,1999,BUF,WR,,approved,ratings-overhaul-1999,2026-06-08,0.9,Veteran possession WR,77,,,,,,,,,,,,,,,,,,,,,
00-0013232,Peerless Price,1999,BUF,WR,,approved,ratings-overhaul-1999,2026-06-08,0.9,Ascending #2 WR,75,,,,,,,,,,,,,,,,,,,,,
00-0013728,Jay Riemersma,1999,BUF,TE,,approved,ratings-overhaul-1999,2026-06-08,0.9,Receiving TE,73,,,,,,,,,,,,,,,,,,,,,
00-0002041,Ruben Brown,1999,BUF,LG,,approved,ratings-overhaul-1999,2026-06-08,0.9,Pro Bowl LG,86,,,,,,,,,,,,,,,,,,,,,
00-0005217,John Fina,1999,BUF,LT,,approved,ratings-overhaul-1999,2026-06-08,0.9,Steady starting LT,77,,,,,,,,,,,,,,,,,,,,,
00-0015111,Bruce Smith,1999,BUF,EDGE,,approved,ratings-overhaul-1999,2026-06-08,0.9,"All-Pro edge, future Hall of Famer",94,,,,,,,,,,,,,,,,,,,,,
00-0017277,Ted Washington,1999,BUF,DT,,approved,ratings-overhaul-1999,2026-06-08,0.9,Elite run-stuffing nose tackle,88,,,,,,,,,,,,,,,,,,,,,
00-0017899,Pat Williams,1999,BUF,DT,,approved,ratings-overhaul-1999,2026-06-08,0.9,Young rotational NT,74,,,,,,,,,,,,,,,,,,,,,
00-0006795,Phil Hansen,1999,BUF,EDGE,,approved,ratings-overhaul-1999,2026-06-08,0.9,Solid base end,77,,,,,,,,,,,,,,,,,,,,,
00-0017670,Marcellus Wiley,1999,BUF,EDGE,,approved,ratings-overhaul-1999,2026-06-08,0.9,Ascending pass rusher,77,,,,,,,,,,,,,,,,,,,,,
00-0003563,Sam Cowart,1999,BUF,LB,,approved,ratings-overhaul-1999,2026-06-08,0.9,Breakout tackle machine,82,,,,,,,,,,,,,,,,,,,,,
00-0013979,Sam Rogers,1999,BUF,LB,,approved,ratings-overhaul-1999,2026-06-08,0.9,Starting linebacker,75,,,,,,,,,,,,,,,,,,,,,
00-0018093,Antoine Winfield,1999,BUF,CB,,approved,ratings-overhaul-1999,2026-06-08,0.9,Tough young cover/run-support CB,80,,,,,,,,,,,,,,,,,,,,,
00-0015314,Thomas Smith,1999,BUF,CB,,approved,ratings-overhaul-1999,2026-06-08,0.9,Steady starting corner,78,,,,,,,,,,,,,,,,,,,,,
00-0008761,Henry Jones,1999,BUF,S,,approved,ratings-overhaul-1999,2026-06-08,0.9,Veteran starting safety,77,,,,,,,,,,,,,,,,,,,,,
00-0014512,Kurt Schulz,1999,BUF,S,,approved,ratings-overhaul-1999,2026-06-08,0.9,Starting safety,75,,,,,,,,,,,,,,,,,,,,,
00-0002975,Steve Christie,1999,BUF,K,,approved,ratings-overhaul-1999,2026-06-08,0.9,Reliable veteran kicker,80,,,,,,,,,,,,,,,,,,,,,
00-0010379,Dan Marino,1999,MIA,QB,,approved,ratings-overhaul-1999,2026-06-08,0.9,"Final season, clear starter, 2378 yds",78,,,,,,,,,,,,,,,,,,,,,
00-0007835,Damon Huard,1999,MIA,QB,,approved,ratings-overhaul-1999,2026-06-08,0.9,Backup QB,71,,,,,,,,,,,,,,,,,,,,,
00-0008529,J.J. Johnson,1999,MIA,RB,,approved,ratings-overhaul-1999,2026-06-08,0.9,Lead back,73,,,,,,,,,,,,,,,,,,,,,
00-0010477,Tony Martin,1999,MIA,WR,,approved,ratings-overhaul-1999,2026-06-08,0.9,"Veteran deep threat, 1000-yd vet",80,,,,,,,,,,,,,,,,,,,,,
00-0005668,Oronde Gadsden,1999,MIA,WR,,approved,ratings-overhaul-1999,2026-06-08,0.9,Red-zone target,77,,,,,,,,,,,,,,,,,,,,,
00-0017370,Richmond Webb,1999,MIA,LT,,approved,ratings-overhaul-1999,2026-06-08,0.9,Longtime Pro Bowl LT,84,,,,,,,,,,,,,,,,,,,,,
00-0014136,Tim Ruddy,1999,MIA,C,,approved,ratings-overhaul-1999,2026-06-08,0.9,Steady Pro Bowl-caliber center,78,,,,,,,,,,,,,,,,,,,,,
00-0004360,Mark Dixon,1999,MIA,LG,,approved,ratings-overhaul-1999,2026-06-08,0.9,Starting guard,74,,,,,,,,,,,,,,,,,,,,,
00-0000439,Trace Armstrong,1999,MIA,EDGE,,approved,ratings-overhaul-1999,2026-06-08,0.9,"16.5 sacks, near NFL sack lead",85,,,,,,,,,,,,,,,,,,,,,
00-0016112,Jason Taylor,1999,MIA,EDGE,,approved,ratings-overhaul-1999,2026-06-08,0.9,Ascending star edge rusher,90,,,,,,,,,,,,,,,,,,,,,
00-0001566,Tim Bowens,1999,MIA,DT,,approved,ratings-overhaul-1999,2026-06-08,0.9,Stout run-stuffing DT,82,,,,,,,,,,,,,,,,,,,,,
00-0005760,Daryl Gardener,1999,MIA,DT,,approved,ratings-overhaul-1999,2026-06-08,0.9,Disruptive interior lineman,80,,,,,,,,,,,,,,,,,,,,,
00-0016344,Zach Thomas,1999,MIA,LB,,approved,ratings-overhaul-1999,2026-06-08,0.9,All-Pro tackle machine,90,,,,,,,,,,,,,,,,,,,,,
00-0013935,Derrick Rodgers,1999,MIA,LB,,approved,ratings-overhaul-1999,2026-06-08,0.9,Starting linebacker,75,,,,,,,,,,,,,,,,,,,,,
00-0010264,Sam Madison,1999,MIA,CB,,approved,ratings-overhaul-1999,2026-06-08,0.9,Shutdown Pro Bowl corner,88,,,,,,,,,,,,,,,,,,,,,
00-0002185,Terrell Buckley,1999,MIA,CB,,approved,ratings-overhaul-1999,2026-06-08,0.9,Ballhawk corner,78,,,,,,,,,,,,,,,,,,,,,
00-0015915,Patrick Surtain,1999,MIA,CB,,approved,ratings-overhaul-1999,2026-06-08,0.9,Ascending young corner,80,,,,,,,,,,,,,,,,,,,,,
00-0010381,Brock Marion,1999,MIA,S,,approved,ratings-overhaul-1999,2026-06-08,0.9,Pro Bowl ballhawk safety,82,,,,,,,,,,,,,,,,,,,,,
00-0018194,Shawn Wooden,1999,MIA,S,,approved,ratings-overhaul-1999,2026-06-08,0.9,Rotational safety,72,,,,,,,,,,,,,,,,,,,,,
00-0010373,Olindo Mare,1999,MIA,K,,approved,ratings-overhaul-1999,2026-06-08,0.9,"Elite kicker, led NFL in FG",86,,,,,,,,,,,,,,,,,,,,,
00-0001361,Drew Bledsoe,1999,NE,QB,,approved,ratings-overhaul-1999,2026-06-08,0.9,"Franchise QB, 3985 yds, 19 TD",80,,,,,,,,,,,,,,,,,,,,,
00-0000232,Terry Allen,1999,NE,RB,,approved,ratings-overhaul-1999,2026-06-08,0.9,Lead back,73,,,,,,,,,,,,,,,,,,,,,
00-0005091,Kevin Faulk,1999,NE,RB,,approved,ratings-overhaul-1999,2026-06-08,0.9,Rookie change-of-pace back,72,,,,,,,,,,,,,,,,,,,,,
00-0006043,Terry Glenn,1999,NE,WR,,approved,ratings-overhaul-1999,2026-06-08,0.9,"Top WR, 1147 yds",84,,,,,,,,,,,,,,,,,,,,,
00-0002068,Troy Brown,1999,NE,WR,,approved,ratings-overhaul-1999,2026-06-08,0.9,Ascending slot/return man,78,,,,,,,,,,,,,,,,,,,,,
00-0008313,Shawn Jefferson,1999,NE,WR,,approved,ratings-overhaul-1999,2026-06-08,0.9,Veteran deep threat,75,,,,,,,,,,,,,,,,,,,,,
00-0003142,Ben Coates,1999,NE,TE,,approved,ratings-overhaul-1999,2026-06-08,0.9,Declining veteran Pro Bowl TE,77,,,,,,,,,,,,,,,,,,,,,
00-0000429,Bruce Armstrong,1999,NE,LT,,approved,ratings-overhaul-1999,2026-06-08,0.9,Veteran Pro Bowl LT,82,,,,,,,,,,,,,,,,,,,,,
00-0018234,Damien Woody,1999,NE,C,,approved,ratings-overhaul-1999,2026-06-08,0.9,Ascending rookie starter,78,,,,,,,,,,,,,,,,,,,,,
00-0009687,Ty Law,1999,NE,CB,,approved,ratings-overhaul-1999,2026-06-08,0.9,Shutdown Pro Bowl corner,88,,,,,,,,,,,,,,,,,,,,,
00-0011326,Lawyer Milloy,1999,NE,S,,approved,ratings-overhaul-1999,2026-06-08,0.9,Hard-hitting Pro Bowl safety,87,,,,,,,,,,,,,,,,,,,,,
00-0010872,Willie McGinest,1999,NE,EDGE,,approved,ratings-overhaul-1999,2026-06-08,0.9,Versatile edge defender,82,,,,,,,,,,,,,,,,,,,,,
00-0002123,Tedy Bruschi,1999,NE,LB,,approved,ratings-overhaul-1999,2026-06-08,0.9,Ascending playmaking LB,78,,,,,,,,,,,,,,,,,,,,,
00-0015030,Chris Slade,1999,NE,LB,,approved,ratings-overhaul-1999,2026-06-08,0.9,Pass-rushing linebacker,77,,,,,,,,,,,,,,,,,,,,,
00-0008629,Ted Johnson,1999,NE,LB,,approved,ratings-overhaul-1999,2026-06-08,0.9,Run-stopping ILB,76,,,,,,,,,,,,,,,,,,,,,
00-0016269,Henry Thomas,1999,NE,DT,,approved,ratings-overhaul-1999,2026-06-08,0.9,Veteran interior lineman,77,,,,,,,,,,,,,,,,,,,,,
00-0008874,Tebucky Jones,1999,NE,CB,,approved,ratings-overhaul-1999,2026-06-08,0.9,Athletic young safety,73,,,,,,,,,,,,,,,,,,,,,
00-0016919,Adam Vinatieri,1999,NE,K,,approved,ratings-overhaul-1999,2026-06-08,0.9,Clutch placekicker,84,,,,,,,,,,,,,,,,,,,,,
00-0016193,Vinny Testaverde,1999,NYJ,QB,,approved,ratings-overhaul-1999,2026-06-08,0.9,"Torn Achilles Week 1, lost season",70,,,,,,,,,,,,,,,,,,,,,
00-0010137,Ray Lucas,1999,NYJ,QB,,approved,ratings-overhaul-1999,2026-06-08,0.9,Kept team competitive as fill-in,74,,,,,,,,,,,,,,,,,,,,,
00-0011378,Rick Mirer,1999,NYJ,QB,,approved,ratings-overhaul-1999,2026-06-08,0.9,Struggled as injury replacement,65,,,,,,,,,,,,,,,,,,,,,
00-0010442,Curtis Martin,1999,NYJ,RB,,approved,ratings-overhaul-1999,2026-06-08,0.9,"Workhorse, 1464 yds, Pro Bowl",89,,,,,,,,,,,,,,,,,,,,,
00-0008561,Keyshawn Johnson,1999,NYJ,WR,,approved,ratings-overhaul-1999,2026-06-08,0.9,"Star WR, 1170 yds, 8 TD",90,,,,,,,,,,,,,,,,,,,,,
00-0002962,Wayne Chrebet,1999,NYJ,WR,,approved,ratings-overhaul-1999,2026-06-08,0.9,Reliable clutch slot WR,82,,,,,,,,,,,,,,,,,,,,,
00-0017160,Dedric Ward,1999,NYJ,WR,,approved,ratings-overhaul-1999,2026-06-08,0.9,Deep-threat #3,73,,,,,,,,,,,,,,,,,,,,,
00-0010577,Kevin Mawae,1999,NYJ,C,,approved,ratings-overhaul-1999,2026-06-08,0.9,Elite All-Pro center,90,,,,,,,,,,,,,,,,,,,,,
00-0004836,Jumbo Elliott,1999,NYJ,LT,,approved,ratings-overhaul-1999,2026-06-08,0.9,Veteran starting LT,76,,,,,,,,,,,,,,,,,,,,,
00-0016310,Randy Thomas,1999,NYJ,LG,,approved,ratings-overhaul-1999,2026-06-08,0.9,Young starting guard,74,,,,,,,,,,,,,,,,,,,,,
00-0009886,Mo Lewis,1999,NYJ,LB,,approved,ratings-overhaul-1999,2026-06-08,0.9,Pro Bowl playmaking LB,86,,,,,,,,,,,,,,,,,,,,,
00-0003572,Bryan Cox,1999,NYJ,LB,,approved,ratings-overhaul-1999,2026-06-08,0.9,Fiery veteran linebacker,80,,,,,,,,,,,,,,,,,,,,,
00-0008819,Marvin Jones,1999,NYJ,LB,,approved,ratings-overhaul-1999,2026-06-08,0.9,Run-stuffing ILB,75,,,,,,,,,,,,,,,,,,,,,
00-0006034,Aaron Glenn,1999,NYJ,CB,,approved,ratings-overhaul-1999,2026-06-08,0.9,Pro Bowl shutdown corner,85,,,,,,,,,,,,,,,,,,,,,
00-0015270,Otis Smith,1999,NYJ,CB,,approved,ratings-overhaul-1999,2026-06-08,0.9,Steady starting corner,76,,,,,,,,,,,,,,,,,,,,,
00-0006356,Victor Green,1999,NYJ,S,,approved,ratings-overhaul-1999,2026-06-08,0.9,Hard-hitting starting safety,80,,,,,,,,,,,,,,,,,,,,,
00-0005150,Jason Ferguson,1999,NYJ,DT,,approved,ratings-overhaul-1999,2026-06-08,0.9,Stout nose tackle,78,,,,,,,,,,,,,,,,,,,,,
00-0013029,Anthony Pleasant,1999,NYJ,EDGE,,approved,ratings-overhaul-1999,2026-06-08,0.9,Veteran defensive end,75,,,,,,,,,,,,,,,,,,,,,
00-0006662,John Hall,1999,NYJ,K,,approved,ratings-overhaul-1999,2026-06-08,0.9,Strong-legged kicker,78,,,,,,,,,,,,,,,,,,,,,
00-0000722,Tony Banks,1999,BAL,QB,,approved,ratings-overhaul-1999,2026-06-08,0.9,Game-manager starter,74,,,,,,,,,,,,,,,,,,,,,
00-0007661,Priest Holmes,1999,BAL,RB,,approved,ratings-overhaul-1999,2026-06-08,0.9,Lead back (injury-limited 1999),76,,,,,,,,,,,,,,,,,,,,,
00-0008059,Qadry Ismail,1999,BAL,WR,,approved,ratings-overhaul-1999,2026-06-08,0.9,"Breakout deep threat, 1105 yds",82,,,,,,,,,,,,,,,,,,,,,
00-0009869,Jermaine Lewis,1999,BAL,WR,,approved,ratings-overhaul-1999,2026-06-08,0.9,Pro Bowl returner + slot,76,,,,,,,,,,,,,,,,,,,,,
00-0012322,Jonathan Ogden,1999,BAL,LT,,approved,ratings-overhaul-1999,2026-06-08,0.9,Elite All-Pro left tackle,96,,,,,,,,,,,,,,,,,,,,,
00-0011803,Edwin Mulitalo,1999,BAL,LG,,approved,ratings-overhaul-1999,2026-06-08,0.9,Young starting guard,76,,,,,,,,,,,,,,,,,,,,,
00-0011411,Jeff Mitchell,1999,BAL,C,,approved,ratings-overhaul-1999,2026-06-08,0.9,Starting center,74,,,,,,,,,,,,,,,,,,,,,
00-0018229,Rod Woodson,1999,BAL,S,,approved,ratings-overhaul-1999,2026-06-08,0.9,"All-Pro safety, 7 INT ballhawk",91,,,,,,,,,,,,,,,,,,,,,
00-0009889,Ray Lewis,1999,BAL,LB,,approved,ratings-overhaul-1999,2026-06-08,0.9,"All-Pro, best LB in football",94,,,,,,,,,,,,,,,,,,,,,
00-0001544,Peter Boulware,1999,BAL,LB,,approved,ratings-overhaul-1999,2026-06-08,0.9,Double-digit-sack edge,86,,,,,,,,,,,,,,,,,,,,,
00-0010749,Michael McCrary,1999,BAL,EDGE,,approved,ratings-overhaul-1999,2026-06-08,0.9,"11.5 sacks, Pro Bowl edge",85,,,,,,,,,,,,,,,,,,,,,
00-0002294,Rob Burnett,1999,BAL,EDGE,,approved,ratings-overhaul-1999,2026-06-08,0.9,Veteran defensive end,76,,,,,,,,,,,,,,,,,,,,,
00-0015002,Tony Siragusa,1999,BAL,DT,,approved,ratings-overhaul-1999,2026-06-08,0.9,"Mountain NT, run anchor",80,,,,,,,,,,,,,,,,,,,,,
00-0014725,Jamie Sharper,1999,BAL,LB,,approved,ratings-overhaul-1999,2026-06-08,0.9,Solid every-down LB,78,,,,,,,,,,,,,,,,,,,,,
00-0010634,Chris McAlister,1999,BAL,CB,,approved,ratings-overhaul-1999,2026-06-08,0.9,Ascending shutdown corner,82,,,,,,,,,,,,,,,,,,,,,
